============================
Start command conflicts with hotkeys, within identified conflicts (log file: KnownHotkeyCommandCheck.log)
----------------------------
[ERROR]: A used for command BileLauncherBombardment/BileLauncherZagara, in seed P contexts=['Coop']
[ERROR]: R used for command BrokenSolarForge/SolarForge, in seed P contexts=['Coop']
[ERROR]: C used for command BuildCreepTumor/QueenCoop, in seed P contexts=['Coop']
[ERROR]: A used for command CampaignVehicles, in seed P contexts=['HotS Campaign']
[ERROR]: F used for command EnableBuildingAttackScourge/Scourge, in seed P contexts=['Coop']
[ERROR]: R used for command EnergizerReclamation/SentryPurifier, in seed P contexts=['Coop']
[ERROR]: R used for command GiantYetiLeap/GiantYeti, in seed P contexts=['HotS Campaign']
[ERROR]: R used for command HyperionAdvancedPDD/HyperionVoidCoop, in seed P contexts=['Coop']
[ERROR]: Q used for command HyperionVoidCoopHyperjump/HyperionVoidCoop, in seed P contexts=['Coop']
[ERROR]: C used for command ImmortalShakurasShadowCannon/ImmortalAiur, in seed P contexts=['Coop']
[ERROR]: C used for command JackhammerConcussionGrenade/HammerSecurity, in seed P contexts=['Left2Die']
[ERROR]: T used for command MorphtoObserver/Observer, in seed P contexts=['Coop']
[ERROR]: T used for command MorphtoOverseer/Overseer, in seed P contexts=['Coop']
[ERROR]: A used for command RapidIncubation/SwarmHostBurrowed, in seed P contexts=['HotS Campaign']
[ERROR]: A used for command RapidIncubation/SwarmHostRooted, in seed P contexts=['HotS Campaign']
[ERROR]: R used for command ResearchBarrier/RoboticsBay, in seed P contexts=['Coop']
[ERROR]: R used for command ResearchKaraxTurretRange/Forge, in seed P contexts=['Coop']
[ERROR]: 2 used for command ResearchMedic/ScienceFacility, in seed P contexts=['Left2Die']
[ERROR]: A used for command ResearchOracleStasisWardUpgrade/FleetBeacon, in seed P contexts=['Coop']
[ERROR]: R used for command ResearchReaper/ScienceFacility, in seed P contexts=['Left2Die']
[ERROR]: C used for command ResearchReaverIncreasedScarabCount/RoboticsBay, in seed P contexts=['Coop']
[ERROR]: R used for command ResearchSOARepairBeamExtraTarget/SolarForge, in seed P contexts=['Coop']
[ERROR]: A used for command ResearchSOASolarLanceUpgrade/SolarForge, in seed P contexts=['Coop']
[ERROR]: R used for command SwarmHostRootBurrow, in seed P contexts=['HotS Campaign']
[ERROR]: A used for command BileLauncherBombardment/BileLauncherZagara, in seed T contexts=['Coop']
[ERROR]: G used for command BuildKelMorianRocketTurret/SCV, in seed T contexts=['Coop']
[ERROR]: A used for command CampaignVehicles, in seed T contexts=['HotS Campaign']
[ERROR]: A used for command DarkArchon/Gateway, in seed T contexts=['Coop']
[ERROR]: A used for command DarkArchon/WarpGate, in seed T contexts=['Coop']
[ERROR]: B used for command DarkTemplarShadowDash/DarkTemplarShakuras, in seed T contexts=['Coop']
[ERROR]: G used for command DisableBuildingAttackScourge/Scourge, in seed T contexts=['Coop']
[ERROR]: A used for command EvolveBanelingCorrosiveBile/BanelingNest, in seed T contexts=['Coop']
[ERROR]: B used for command EvolveBileLauncherIncreasedRange/SpawningPool, in seed T contexts=['Coop']
[ERROR]: B used for command EvolveBurrowCharge/UltraliskCavern, in seed T contexts=['Coop']
[ERROR]: B used for command EvolveHydriodicBile/RoachWarren, in seed T contexts=['Coop']
[ERROR]: G used for command EvolveMuscularAugments/HydraliskDen, in seed T contexts=['Coop']
[ERROR]: A used for command EvolveMuscularAugments/ImpalerDen, in seed T contexts=['Coop']
[ERROR]: G used for command EvolveMuscularAugments/LurkerDen, in seed T contexts=['Coop']
[ERROR]: G used for command EvolveScourgeGasCostReduction/ScourgeNest, in seed T contexts=['Coop']
[ERROR]: S used for command EvolveSunderingGlave/GreaterSpire, in seed T contexts=['Coop']
[ERROR]: S used for command EvolveSunderingGlave/Spire, in seed T contexts=['Coop']
[ERROR]: V used for command EvolveViciousGlaive/GreaterSpire, in seed T contexts=['Coop']
[ERROR]: V used for command EvolveViciousGlaive/Spire, in seed T contexts=['Coop']
[ERROR]: Q used for command HyperionVoidCoopHyperjump/HyperionVoidCoop, in seed T contexts=['Coop']
[ERROR]: B used for command IgniteAfterburners/Banshee, in seed T contexts=['Coop']
[ERROR]: B used for command IgniteAfterburners/Battlecruiser, in seed T contexts=['Coop']
[ERROR]: B used for command IgniteAfterburners/Liberator, in seed T contexts=['Coop']
[ERROR]: B used for command IgniteAfterburners/SiegeTank, in seed T contexts=['Coop']
[ERROR]: B used for command IgniteAfterburners/VikingAssault, in seed T contexts=['Coop']
